,feature_name,feature_value,precision,recall,fbeta
Private,workclass,Private,0.7337579617834394,0.584771573604061,0.6508474576271187
Self-emp-not-inc,workclass,Self-emp-not-inc,0.6896551724137931,0.5797101449275363,0.6299212598425198
Federal-gov,workclass,Federal-gov,0.6705882352941176,0.76,0.7124999999999999
State-gov,workclass,State-gov,0.7714285714285715,0.8181818181818182,0.7941176470588236
Local-gov,workclass,Local-gov,0.753968253968254,0.7142857142857143,0.7335907335907336
?,workclass,?,0.6363636363636364,0.4883720930232558,0.5526315789473685
Self-emp-inc,workclass,Self-emp-inc,0.7191780821917808,0.8203125,0.7664233576642335
Never-worked,workclass,Never-worked,1.0,1.0,1.0
Without-pay,workclass,Without-pay,1.0,1.0,1.0
Bachelors,education,Bachelors,0.7805486284289277,0.7382075471698113,0.7587878787878788
Masters,education,Masters,0.8201058201058201,0.8333333333333334,0.8266666666666667
Some-college,education,Some-college,0.6370967741935484,0.5337837837837838,0.5808823529411764
10th,education,10th,0.8333333333333334,0.29411764705882354,0.4347826086956522
5th-6th,education,5th-6th,1.0,0.25,0.4
Doctorate,education,Doctorate,0.7647058823529411,0.9285714285714286,0.8387096774193549
HS-grad,education,HS-grad,0.611336032388664,0.438953488372093,0.5109983079526227
Assoc-acdm,education,Assoc-acdm,0.7450980392156863,0.6229508196721312,0.6785714285714286
Assoc-voc,education,Assoc-voc,0.6590909090909091,0.4461538461538462,0.5321100917431192
7th-8th,education,7th-8th,1.0,0.1111111111111111,0.19999999999999998
9th,education,9th,1.0,0.0,0.0
11th,education,11th,0.75,0.42857142857142855,0.5454545454545454
Prof-school,education,Prof-school,0.8315789473684211,0.9634146341463414,0.8926553672316384
12th,education,12th,1.0,0.0,0.0
1st-4th,education,1st-4th,0.0,1.0,0.0
Preschool,education,Preschool,0.0,1.0,0.0
Never-married,marital-status,Never-married,0.6721311475409836,0.41836734693877553,0.5157232704402516
Married-civ-spouse,marital-status,Married-civ-spouse,0.7272727272727273,0.6661710037174721,0.695382227396197
Divorced,marital-status,Divorced,0.7555555555555555,0.38202247191011235,0.5074626865671642
Widowed,marital-status,Widowed,0.6666666666666666,0.3157894736842105,0.42857142857142855
Married-spouse-absent,marital-status,Married-spouse-absent,0.5,0.3333333333333333,0.4
Separated,marital-status,Separated,0.8333333333333334,0.7142857142857143,0.7692307692307692
Exec-managerial,occupation,Exec-managerial,0.7638190954773869,0.769620253164557,0.7667087011349307
Prof-specialty,occupation,Prof-specialty,0.8091397849462365,0.8026666666666666,0.8058902275769745
Machine-op-inspct,occupation,Machine-op-inspct,0.6551724137931034,0.40425531914893614,0.4999999999999999
Craft-repair,occupation,Craft-repair,0.6074074074074074,0.4385026737967914,0.5093167701863354
Adm-clerical,occupation,Adm-clerical,0.5783132530120482,0.5106382978723404,0.5423728813559322
Sales,occupation,Sales,0.7019867549668874,0.5760869565217391,0.6328358208955224
Other-service,occupation,Other-service,0.3333333333333333,0.125,0.18181818181818182
Farming-fishing,occupation,Farming-fishing,0.5789473684210527,0.5789473684210527,0.5789473684210527
?,occupation,?,0.6363636363636364,0.4883720930232558,0.5526315789473685
Handlers-cleaners,occupation,Handlers-cleaners,0.6666666666666666,0.46153846153846156,0.5454545454545455
Tech-support,occupation,Tech-support,0.64,0.5161290322580645,0.5714285714285714
Transport-moving,occupation,Transport-moving,0.6571428571428571,0.3026315789473684,0.4144144144144144
Protective-serv,occupation,Protective-serv,0.8378378378378378,0.6458333333333334,0.7294117647058824
Priv-house-serv,occupation,Priv-house-serv,1.0,1.0,1.0
Armed-Forces,occupation,Armed-Forces,1.0,1.0,1.0
Not-in-family,relationship,Not-in-family,0.7,0.44,0.5403508771929825
Husband,relationship,Husband,0.7338262476894639,0.6711749788672866,0.7011037527593819
Unmarried,relationship,Unmarried,0.8,0.32432432432432434,0.46153846153846156
Own-child,relationship,Own-child,0.8,0.26666666666666666,0.4
Other-relative,relationship,Other-relative,0.2857142857142857,0.2857142857142857,0.2857142857142857
Wife,relationship,Wife,0.6971830985915493,0.6556291390728477,0.6757679180887372
White,race,White,0.7233870967741935,0.6348195329087049,0.6762156049754995
Black,race,Black,0.7619047619047619,0.5217391304347826,0.6193548387096773
Amer-Indian-Eskimo,race,Amer-Indian-Eskimo,1.0,0.5,0.6666666666666666
Asian-Pac-Islander,race,Asian-Pac-Islander,0.7254901960784313,0.6851851851851852,0.7047619047619048
Other,race,Other,0.75,1.0,0.8571428571428571
Female,sex,Female,0.6839378238341969,0.5689655172413793,0.6211764705882354
Male,sex,Male,0.7328767123287672,0.6407185628742516,0.6837060702875399
United-States,native-country,United-States,0.7300564061240935,0.6304801670146137,0.6766243465272591
Italy,native-country,Italy,0.75,0.6,0.6666666666666665
Iran,native-country,Iran,0.8333333333333334,1.0,0.9090909090909091
Ecuador,native-country,Ecuador,0.0,1.0,0.0
?,native-country,?,0.8636363636363636,0.5757575757575758,0.6909090909090909
Puerto-Rico,native-country,Puerto-Rico,0.5,1.0,0.6666666666666666
Mexico,native-country,Mexico,0.5,0.75,0.6
Cuba,native-country,Cuba,0.6666666666666666,0.2857142857142857,0.4
Taiwan,native-country,Taiwan,1.0,0.8,0.888888888888889
Haiti,native-country,Haiti,1.0,1.0,1.0
Guatemala,native-country,Guatemala,1.0,1.0,1.0
Canada,native-country,Canada,0.5,0.8,0.6153846153846154
Jamaica,native-country,Jamaica,1.0,0.0,0.0
Portugal,native-country,Portugal,1.0,0.5,0.6666666666666666
Poland,native-country,Poland,0.0,0.0,0.0
Germany,native-country,Germany,0.4,0.5,0.4444444444444445
India,native-country,India,0.5833333333333334,0.7777777777777778,0.6666666666666666
South,native-country,South,1.0,0.4,0.5714285714285715
Philippines,native-country,Philippines,0.6666666666666666,0.75,0.7058823529411765
Hong,native-country,Hong,1.0,1.0,1.0
Peru,native-country,Peru,0.0,1.0,0.0
El-Salvador,native-country,El-Salvador,1.0,0.0,0.0
Dominican-Republic,native-country,Dominican-Republic,1.0,0.5,0.6666666666666666
England,native-country,England,0.6666666666666666,0.5,0.5714285714285715
Ireland,native-country,Ireland,1.0,1.0,1.0
Japan,native-country,Japan,0.5,0.6666666666666666,0.5714285714285715
Columbia,native-country,Columbia,1.0,1.0,1.0
Honduras,native-country,Honduras,1.0,1.0,1.0
China,native-country,China,0.7142857142857143,1.0,0.8333333333333333
Cambodia,native-country,Cambodia,1.0,0.0,0.0
Trinadad&Tobago,native-country,Trinadad&Tobago,1.0,1.0,1.0
Greece,native-country,Greece,1.0,0.6666666666666666,0.8
Outlying-US(Guam-USVI-etc),native-country,Outlying-US(Guam-USVI-etc),1.0,1.0,1.0
Vietnam,native-country,Vietnam,1.0,1.0,1.0
Yugoslavia,native-country,Yugoslavia,0.5,1.0,0.6666666666666666
Thailand,native-country,Thailand,1.0,1.0,1.0
France,native-country,France,0.5,1.0,0.6666666666666666
Laos,native-country,Laos,0.0,0.0,0.0
Nicaragua,native-country,Nicaragua,1.0,1.0,1.0
Scotland,native-country,Scotland,1.0,1.0,1.0
Hungary,native-country,Hungary,1.0,1.0,1.0
